ID,Color,Brand,Style
glassFemale1,Purple,Tom Ford,Cat Eye
glassFemale2,Black,Eco Logon,Rectangle
glassFemale3,Black,Virgil,Round
glassFemale4,Purple,Ray-Ban,Round
glassFemale5,Black,Easy Clip,Round
glassFemale6,Black,Blue Panda,Round
glassFemale7,Black,Agstum,Round
glassFemale8,Black,Freya,Cat Eye
glassFemale9,Brown,Freya,Browline
glassFemale10,White,Ray-Ban,Round
glassFemale11,White,Zenni,Rectangle
glassFemale12,Blue,New Man,Geometric
glassFemale13,Yellow,Frienda,Round
glassFemale14,Yellow,Zenni,Round
glassFemale15,Yellow,Meller,Round
glassFemale16,Red,Meller,Round
glassFemale17,Red,Lindberg,Square
glassFemale18,Red,Rika,Cat Eye
glassFemale19,Black,Simon,Geometric
glassFemale20,White,Wiley,Rectangle
glassFemale21,Grey,Wiley,Geometric
glassFemale22,Grey,Lindberg,Geometric
glassFemale23,Yellow,Lindberg,Round
glassFemale24,Yellow,Kaleos,Geometric
glassFemale25,Black,Kaleos,Round
glassMale1,Black,Base Plane,Rectangle
glassMale2,Grey,Futurity,Square
glassMale3,Black,IC Berlin,Square
glassMale4,Grey,Turpin,Rectangle
glassMale5,Black,Ray-Ban,Aviator
glassMale6,Yellow,Ray-Ban,Aviator
glassMale7,Brown,Adept,Rectangle
glassMale8,Black,Phoebe,Rectangle
glassMale9,Black,Metalink,Rectangle
glassMale10,Orange,Lindberg,Aviator
glassMale11,White,Stepper,Rectangle
glassMale13,Red,Aiden,Rectangle
glassMale14,Black,NoIR,Rectangle
glassMale15,Black,Matrix Buffalo,Browline
glassMale16,Black,Matrix Buffalo,Rectangle
glassMale17,Blue,Lindberg,Geometric
glassMale18,Blue,Lindberg,Browline
glassMale19,Black,Lindberg,Square
glassMale20,Brown,Lindberg,Square
glassMale21,Black,Theo,Rectangle
glassMale22,Yellow,Lindberg,Aviator
glassMale23,Orange,Mykita,Geometric
glassMale24,Purple,Lindberg,Geometric
glassMale25,White,Sanborn,Square
